"sourceTable";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"placedDiff";"totalPoints";"pointsJury";"pointsTelevote";"pointsDiff";"youtubeLink";"appleMusicLink";"spotifyLink"
"1994";"Ovidijus Vyšniauskas";"Lopšinė mylimai";16;24;24;;;0;0;;;"https://youtu.be/PWmh95boVZY?si=Ax8nAfLhi1LkI-uH";"https://music.apple.com/gb/album/lop%C5%A1in%C4%97-mylimai/1524960488?i=1524960643";"https://open.spotify.com/track/4PFxdMtFjwLUtZAH9BTyRW?si=f3abff697961489e"
"1999";"Aistė";"Strazdas";1;18;13;16;3;13;0;13;13;"https://youtu.be/pArN9mj3n9M?si=UHSItG-5V5kPK5fr";"https://music.apple.com/gb/album/strazdas/1463413380?i=1463413384";"https://open.spotify.com/track/7vgFvPtmPg8QPrOuudKgl1?si=0956a3aa364644ce"
"2001";"Skamp";"You Got Style";8;13;10;12;2;35;12;23;11;"https://youtu.be/r8LV0h7ixCY?si=s_HU2ybNk8ifTvHj";"https://music.apple.com/gb/album/you-got-style/268403218?i=268403710";"https://open.spotify.com/track/02AK9DE6ttEbcFxMOim4YZ?si=01d1dc38389b48ef"
"2002";"Aivaras";"Happy You";24;20;18;19;1;12;4;8;4;"https://youtu.be/TkN8ZX-gaeY?si=P5osKsvGHwRPvP2i";;
"2004";"Linas and Simona";"What's Happened to Your Love";;;;;;;;;;"https://youtu.be/7BlU6y_ZghY?si=nmWF4UNthIXbL-GN";;
"2005";"Laura and the Lovers";"Little by Little";;;;;;;;;;"https://youtu.be/qUfTcrz8Zcc?si=dz16CUSYOe7lNUWR";;
"2006";"LT United";"We Are the Winners";14;6;5;5;0;162;7;155;148;"https://youtu.be/DBAdOlQPbwg?si=ebwLrJyRqVBz_dOu";"https://music.apple.com/gb/album/we-are-the-winners/724740522?i=724740675";"https://open.spotify.com/track/2QNb0E7tUeL5fCQFY5Pf02?si=ae17aab7899f4bfe"
"2007";"4Fun";"Love or Leave";9;21;11;21;10;28;1;27;26;"https://youtu.be/Rebt7qd-HcI?si=o7mTp_5quJqhODEz";"https://music.apple.com/gb/album/love-or-leave/347757270?i=347757855";"https://open.spotify.com/track/0Kd8LZOl5NH5ZBYMhuVM1P?si=02374565b29a456a"
"2008";"Jeronimas Milius";"Nomads in the Night";;;;;;;;;;"https://youtu.be/Lxi0MqXbDiQ?si=d7dtpwTqmEa3wiZk";;
"2009";"Sasha Son";"Love";1;20;19;14;5;95;31;64;33;"https://youtu.be/ukSmGIp_xVk?si=Rfg_lF_wuozcNJsd";;
"2010";"InCulto";"Eastern European Funk";;;;;;;;;;;;
"2011";"Evelina Sašenko";"C'est ma vie";4;21;19;19;0;121;66;55;11;;;
"2012";"Donny Montell";"Love Is Blind";4;14;12;13;1;150;82;68;14;;;
"2013";"Andrius Pojavis";"Something";2;21;;;;;;;;;;
"2014";"Vilija";"Attention";;;;;;;;;;;;
"2015";"Monika Linkytė and Vaidas Baumila";"This Time";7;17;15;16;1;75;31;44;13;;;
"2016";"Donny Montell";"I've Been Waiting for This Night";16;9;11;10;1;200;104;96;8;;;
"2017";"Fusedmarc";"Rain of Revolution";;;;;;;;;;;;
"2018";"Ieva Zasimauskaitė";"When We're Old";4;20;11;24;13;99;90;9;81;;;
"2019";"Jurij Veklenko";"Run with the Lions";;;;;;;;;;"https://youtu.be/5Nb3HMzsfZY?si=MiyaWgIcVpy_E55J";"https://music.apple.com/gb/album/run-with-the-lions/1458385236?i=1458385240";"https://open.spotify.com/track/1PiZscF70USgrXYRNn9hoT?si=c3c072ad87f84dbf"
"2020";"The Roop";"On Fire";;;;;;;;;;"https://youtu.be/FxPm-Wz8qpY?si=eOf3LalSIE88-V-4";"https://music.apple.com/gb/album/on-fire/1495253182?i=1495253183";"https://open.spotify.com/track/5TXxwRgdIS4gPjUtKwTuSb?si=766f5ce836b343b3"
"2021";"The Roop";"Discoteque";18;8;14;6;8;220;55;165;110;"https://youtu.be/JNweec5olYw?si=bnlVRCp2ALTZkJH4";"https://music.apple.com/gb/album/discoteque/1621312513?i=1621312982";"https://open.spotify.com/track/7dMOzsTZOUtOF7W5kLN0gf?si=f551ff3190cd47b9"
"2022";"Monika Liu";"Sentimentai";14;14;17;11;6;128;35;93;58;"https://youtu.be/BVqSTVJhD44?si=Y_3qTEN444wClXEZ";"https://music.apple.com/gb/album/sentimentai/1675847698?i=1675847702";"https://open.spotify.com/track/0JNPmXGU9K9DJpV9eHppZz?si=cac5d82191e54e91"
"2023";"Monika Linkytė";"Stay";22;11;11;15;4;127;81;46;35;"https://youtu.be/QsgouAEd34U?si=2WzjF2URZtml5e8w";"https://music.apple.com/gb/album/stay/1671501773?i=1671501774";"https://open.spotify.com/track/4yOIHfzshv3Mr1nuq7ZPSw?si=e8a6c4d24d6b4470"
"2024";"Silvester Belt";"Luktelk";;;;;;;;;;"https://youtu.be/OrL668EQRu0?si=zG3H5-5rm0kCqHtF";"https://music.apple.com/gb/album/luktelk/1725628942?i=1725628943";"https://open.spotify.com/track/4ZBe9Plh2adT70U4PDxve1?si=6e5ffee93ce44a98"
